
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
23,Steve Bardo,SG,6-5,190,April 5 1968,1,University of Illinois at Urbana-Champaign
40,Walter Bond,SG,6-5,200,February 1 1969,R,University of Minnesota
30,Dexter Cambridge,SF,6-7,224,January 29 1970,R,University of Texas at Austin
44,Radisav Curcic,C,6-10,275,September 26 1965,R,
43,Terry Davis,PF,6-9,225,June 17 1967,3,Virginia Union University
12,Derek Harper,SG,6-4,185,October 13 1961,9,University of Illinois at Urbana-Champaign
35,Donald Hodge,C,7-0,230,February 25 1969,1,Temple University
41,Brian Howard,SF,6-6,204,October 19 1967,1,North Carolina State University
13,Mike Iuzzolino,PG,5-10,175,January 22 1968,1,Saint Francis University
24,Jim Jackson,SF,6-6,220,October 14 1970,R,Ohio State University
23,Tim Legler,SG,6-4,200,December 26 1966,2,La Salle University
20,Tracy Moore,SG,6-4,200,December 28 1965,1,University of Tulsa
31,Walter Palmer,C,7-1,215,October 23 1968,1,Dartmouth College
45,Sean Rooks,C,6-10,250,September 9 1969,R,University of Arizona
34,Doug Smith,PF,6-10,220,September 17 1969,1,University of Missouri
10,Lamont Strothers,SG,6-4,190,May 10 1968,1,Christopher Newport University
52,Randy White,PF,6-8,240,November 4 1967,3,Louisiana Tech University
20,Morlon Wiley,PG,6-4,185,September 24 1966,4,California State University Long Beach
