
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Derek Anderson,SG,6-5,194,July 18 1974,3,University of Kentucky
33,Antonio Daniels,PG,6-4,195,March 19 1975,3,Bowling Green State University
5,Derrick Dial,SG,6-4,184,December 20 1975,1,Eastern Michigan University
21,Tim Duncan,PF,6-11,250,April 25 1976,3,Wake Forest University
32,Sean Elliott,SF,6-8,205,February 2 1968,11,University of Arizona
35,Danny Ferry,SF,6-10,230,October 17 1966,10,Duke University
2,Jaren Jackson,SG,6-4,190,October 27 1967,10,Georgetown University
6,Avery Johnson,PG,5-10,175,March 25 1965,12,Southern University and A&amp;M College
4,Steve Kerr,PG,6-3,175,September 27 1965,12,University of Arizona
3,Ira Newble,SF,6-7,220,January 20 1975,R,Miami University
30,Terry Porter,PG,6-3,195,April 8 1963,15,University of Wisconsin-Stevens Point
50,David Robinson,C,7-1,235,August 6 1965,11,United States Naval Academy
31,Malik Rose,PF,6-7,250,November 23 1974,4,Drexel University
36,Shawnelle Scott,C,6-10,250,June 16 1972,2,St. John's University
55,Samaki Walker,PF,6-9,240,February 25 1976,4,University of Louisville
