
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Stephen Jackson,27,81,81,2910,8.7,21.1,.411,2.2,6.2,.345,6.5,14.9,.439,4.9,6.3,.786,0.9,4.9,5.7,4.1,1.9,0.8,3.7,3.6,24.5,,99,104
2,Anthony Johnson,31,75,53,1981,7.2,16.3,.443,1.4,4.2,.329,5.8,12.1,.482,2.9,3.8,.752,0.8,3.7,4.5,8.8,1.7,0.6,3.1,3.6,18.7,,107,105
3,Fred Jones,26,68,2,1837,6.8,16.3,.417,1.8,5.4,.337,5.0,10.8,.457,3.6,4.7,.763,0.5,4.4,5.0,4.5,1.6,0.6,3.1,4.1,19.0,,100,105
4,Jermaine O'Neal,27,51,47,1802,11.3,23.9,.472,0.1,0.3,.300,11.2,23.6,.474,7.8,10.9,.709,3.0,11.1,14.1,4.0,0.8,3.5,4.5,5.3,30.4,,102,99
5,Danny Granger,22,78,17,1765,6.7,14.5,.462,0.9,2.8,.323,5.8,11.7,.496,3.5,4.5,.777,4.0,7.7,11.6,2.7,1.8,1.9,2.4,6.4,17.8,,110,101
6,Jeff Foster,29,63,37,1581,4.7,8.5,.552,0.0,0.1,.000,4.7,8.3,.561,3.3,5.4,.604,7.6,11.9,19.4,1.7,1.4,0.9,2.2,6.5,12.6,,120,100
7,Sarunas Jasikevicius,29,75,15,1557,5.8,14.8,.396,3.0,8.1,.364,2.9,6.6,.435,4.2,4.6,.910,0.7,4.6,5.3,7.8,1.4,0.1,4.0,3.7,18.8,,107,106
8,Peja Stojakovic,28,40,40,1454,10.1,21.9,.461,3.4,8.3,.404,6.7,13.6,.496,5.2,5.7,.903,1.7,7.5,9.2,2.5,1.0,0.3,1.9,3.3,28.7,,118,104
9,Austin Croshere,30,50,26,1148,6.2,13.3,.463,2.5,6.5,.386,3.6,6.8,.538,4.2,4.8,.882,2.9,9.5,12.4,2.9,1.0,0.3,2.2,4.9,19.0,,121,103
10,Jamaal Tinsley,27,42,27,1122,7.5,18.4,.409,0.8,3.3,.229,6.8,15.1,.449,2.8,4.3,.637,1.7,4.7,6.3,10.1,2.3,0.3,5.2,4.6,18.6,,93,103
11,David Harrison,23,67,17,1034,7.7,15.2,.503,0.0,0.0,,7.7,15.2,.503,4.6,9.0,.511,4.3,8.8,13.2,0.7,1.2,3.1,4.1,10.0,19.9,,95,100
12,Scot Pollard,30,45,32,771,4.9,10.7,.455,0.0,0.0,,4.9,10.7,.455,2.0,2.6,.763,5.1,10.1,15.1,1.7,2.6,1.4,1.8,8.0,11.7,,107,98
13,Metta World Peace,26,16,16,603,9.7,21.0,.460,1.6,4.8,.333,8.1,16.2,.497,6.6,10.7,.612,2.3,4.6,6.9,3.1,3.7,1.0,3.8,4.0,27.5,,102,100
14,Eddie Gill,27,41,0,122,4.4,19.7,.222,3.1,10.1,.304,1.3,9.7,.136,7.9,10.1,.783,0.0,6.6,6.6,5.3,4.8,0.4,3.9,5.7,19.7,,85,97
15,Samaki Walker,29,7,0,22,0.0,4.9,.000,0.0,0.0,,0.0,4.9,.000,4.9,4.9,1.000,0.0,7.3,7.3,0.0,0.0,2.4,4.9,17.0,4.9,,45,103
16,Jonathan Bender,25,2,0,21,10.2,12.7,.800,0.0,0.0,,10.2,12.7,.800,5.1,5.1,1.000,0.0,10.2,10.2,5.1,0.0,2.5,0.0,5.1,25.5,,180,102
