
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
42,Elton Brand,PF,6-8,275,March 11 1979,3,Duke University
1,Keyon Dooling,SG,6-3,196,May 8 1980,2,University of Missouri
2,Melvin Ely,C,6-10,260,May 2 1978,R,California State University Fresno
32,Tremaine Fowlkes,SF,6-8,220,April 11 1976,1,California State University Fresno
20,Marko Jaric,SF,6-7,198,October 12 1978,R,
50,Corey Maggette,SG,6-6,218,November 12 1979,3,Duke University
24,Andre Miller,PG,6-3,200,March 19 1976,3,University of Utah
7,Lamar Odom,SF,6-10,220,November 6 1979,3,University of Rhode Island
34,Michael Olowokandi,C,7-0,269,April 3 1975,4,University of the Pacific
44,Cherokee Parks,PF,6-11,235,October 11 1972,7,Duke University
52,Eric Piatkowski,SG,6-7,215,September 30 1970,8,University of Nebraska
3,Quentin Richardson,SG,6-6,223,April 13 1980,2,DePaul University
45,Sean Rooks,C,6-10,250,September 9 1969,10,University of Arizona
54,Chris Wilcox,PF,6-10,221,September 3 1982,R,University of Maryland
16,Wang Zhizhi,C,7-0,255,July 8 1977,2,
