
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
8,Kobe Bryant,SG,6-6,212,August 23 1978,6,
2,Derek Fisher,PG,6-1,200,August 9 1974,6,University of Arkansas at Little Rock
17,Rick Fox,SF,6-7,230,July 24 1969,11,University of North Carolina
3,Devean George,SF,6-8,220,August 29 1977,3,Augsburg College
5,Robert Horry,PF,6-9,220,August 25 1970,10,University of Alabama
35,Mark Madsen,PF,6-9,240,January 28 1976,2,Stanford University
14,Stanislav Medvedenko,PF,6-10,250,April 4 1979,2,
30,Tracy Murray,SF,6-7,225,July 25 1971,10,University of California Los Angeles
34,Shaquille O'Neal,C,7-1,325,March 6 1972,10,Louisiana State University
12,Jannero Pargo,PG,6-1,175,October 22 1979,R,University of Arkansas
21,Kareem Rush,PG,6-6,215,October 30 1980,R,University of Missouri
0,Soumaila Samake,C,7-0,230,March 18 1978,1,
20,Brian Shaw,PG,6-6,190,March 22 1966,13,University of California Santa Barbara
52,Samaki Walker,C,6-9,240,February 25 1976,6,University of Louisville
