
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Dikembe Mutombo,26,82,82,3029,6.3,12.4,.510,0.0,0.0,,6.3,12.4,.510,5.3,7.8,.681,5.5,11.5,17.0,2.3,0.7,4.6,3.4,4.5,18.0,,110,102
2,LaPhonso Ellis,22,82,82,2749,8.5,16.8,.504,0.0,0.2,.154,8.4,16.5,.509,4.1,5.5,.748,4.8,8.2,13.0,2.6,1.3,1.9,2.7,5.1,21.1,,113,105
3,Reggie Williams,28,79,79,2722,9.5,20.6,.458,0.6,2.2,.270,8.9,18.5,.480,4.2,5.2,.804,2.3,5.2,7.6,5.2,2.2,1.3,3.4,5.0,23.7,,106,106
4,Mahmoud Abdul-Rauf,23,81,81,2710,11.2,25.0,.450,1.2,3.5,.355,10.0,21.5,.465,3.9,4.1,.935,0.9,3.1,4.0,6.1,1.5,0.1,3.3,3.2,27.6,,107,110
5,Marcus Liberty,24,78,32,1585,7.6,18.8,.406,0.7,1.8,.373,7.0,17.0,.410,3.1,4.7,.654,4.0,6.2,10.2,3.2,1.9,0.6,2.4,4.3,19.1,,101,106
6,Robert Pack,23,77,1,1579,8.7,18.5,.470,0.0,0.2,.125,8.7,18.2,.475,7.3,9.5,.768,1.6,3.3,4.9,10.2,2.5,0.3,5.6,5.5,24.7,,105,108
7,Mark Macon,23,48,27,1141,6.7,16.1,.415,0.0,0.3,.000,6.7,15.8,.421,1.8,2.5,.700,1.4,3.0,4.3,5.3,2.9,0.1,3.0,5.7,15.1,,93,107
8,Bryant Stith,22,39,12,865,6.9,15.5,.446,0.0,0.2,.000,6.9,15.2,.453,5.5,6.6,.832,2.2,4.7,6.9,2.7,1.3,0.3,2.4,4.6,19.3,,109,109
9,Todd Lichti,26,48,12,752,7.9,17.7,.449,0.1,0.4,.333,7.8,17.3,.452,5.2,6.5,.794,2.2,4.3,6.5,3.3,1.8,0.7,3.1,3.8,21.2,,104,108
10,Gary Plummer,30,60,0,737,6.9,14.9,.465,0.0,0.2,.000,6.9,14.7,.471,4.5,6.2,.726,3.5,7.8,11.3,2.6,0.9,0.7,5.1,9.2,18.3,,94,107
11,Scott Hastings,32,76,0,670,4.1,8.0,.509,0.1,0.6,.250,3.9,7.5,.529,2.9,3.9,.727,3.2,6.7,9.8,2.4,0.9,0.6,2.1,8.3,11.2,,113,108
12,Tom Hammonds,25,35,0,571,7.2,14.8,.489,0.0,0.1,.000,7.2,14.7,.491,2.8,4.5,.611,2.8,5.3,8.1,1.3,1.5,0.7,2.6,4.8,17.3,,101,108
13,Kevin Brooks,23,55,2,571,7.8,19.6,.399,0.5,2.2,.231,7.3,17.4,.420,2.9,3.4,.875,1.9,5.0,6.8,2.9,0.8,0.2,3.3,3.9,19.1,,93,110
14,Robert Werdann,22,28,0,149,5.8,19.0,.305,0.0,0.3,.000,5.8,18.7,.310,5.5,10.0,.548,7.4,9.4,16.8,2.3,1.9,1.3,3.9,12.3,17.1,,85,103
