
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,John Lucas,24,82,2933,16.4,.481,,.264,1.8,7.6,4.6,34.8,2.6,0.2,16.8,17.3,,4.3,0.9,5.2,.085,,1.3,-1.2,0.1,1.6
2,Calvin Murphy,29,76,2900,19.5,.525,,.154,2.0,4.0,3.0,14.9,1.8,0.1,8.5,27.9,,7.5,-0.1,7.4,.122,,3.8,-3.1,0.6,1.9
3,Dwight Jones,25,82,2476,12.5,.496,,.300,9.0,18.8,13.7,5.8,1.5,0.8,15.8,16.8,,1.8,1.3,3.1,.060,,-0.8,0.1,-0.7,0.8
4,Kevin Kunnert,26,80,2152,13.6,.460,,.160,12.6,21.9,17.1,6.2,1.0,2.2,13.5,19.3,,1.2,1.4,2.6,.058,,-1.0,-0.2,-1.2,0.4
5,Moses Malone,22,59,2107,21.2,.559,,.535,18.6,26.2,22.3,2.1,1.1,1.9,17.7,23.5,,4.4,1.7,6.1,.139,,1.2,-2.4,-1.1,0.5
6,Robert Reid,22,80,1849,11.3,.475,,.167,6.2,14.6,10.3,8.7,1.7,1.5,11.6,15.0,,1.4,0.9,2.3,.061,,-0.8,0.7,-0.2,0.9
7,Mike Newlin,29,45,1181,16.0,.511,,.352,3.1,7.8,5.4,24.2,2.1,0.4,17.4,23.3,,1.5,0.3,1.8,.073,,0.9,-1.5,-0.6,0.4
8,Ed Ratleff,27,68,1163,11.5,.452,,.152,5.0,9.9,7.4,16.8,2.4,1.0,16.8,13.6,,0.5,0.5,1.0,.042,,-1.2,0.7,-0.6,0.4
9,Rudy Tomjanovich,29,23,849,17.1,.513,,.181,4.9,12.6,8.6,5.9,0.8,0.3,7.3,24.4,,1.6,0.1,1.7,.095,,1.3,-3.0,-1.7,0.1
10,Alonzo Bradley,24,43,798,9.0,.459,,.194,3.1,10.3,6.6,9.3,0.9,0.4,14.3,19.2,,-0.1,0.0,-0.1,-0.005,,-2.8,-2.1,-4.9,-0.6
11,C.J. Kupec,25,49,626,10.0,.461,,.168,4.4,11.2,7.7,10.5,0.8,0.3,10.2,15.0,,0.5,0.0,0.5,.038,,-1.8,-1.7,-3.6,-0.2
12,Rudy White,24,21,219,6.4,.409,,.212,3.8,6.5,5.1,13.4,1.7,0.0,19.1,20.9,,-0.3,0.0,-0.3,-0.070,,-4.5,-2.5,-6.9,-0.3
13,Zaid Abdul-Aziz,31,14,134,11.4,.493,,.426,10.0,17.9,13.8,7.0,0.7,0.8,16.5,19.9,,0.1,0.0,0.1,.050,,-2.1,-2.3,-4.4,-0.1
14,Larry Moffett,23,20,110,4.0,.374,,.588,9.4,10.9,10.1,7.5,0.9,1.0,27.2,10.7,,-0.1,0.0,-0.1,-0.042,,-4.4,-0.2,-4.7,-0.1
15,Mike Dunleavy,23,11,102,15.7,.450,,.372,1.0,8.6,4.7,29.7,3.7,0.5,15.2,23.1,,0.1,0.1,0.1,.056,,-0.9,-1.5,-2.3,0.0
16,Robin Jones,23,12,66,7.7,.533,,.500,7.8,14.9,11.2,4.2,0.7,0.8,22.3,19.0,,0.0,0.0,0.0,-0.008,,-3.6,-2.7,-6.3,-0.1
17,Ron Behagen,27,3,33,11.6,.612,,.091,6.3,16.5,11.2,8.9,0.0,0.0,20.8,17.4,,0.0,0.0,0.0,.045,,-1.3,-2.9,-4.2,0.0
18,Phil Bond,23,7,21,5.3,.333,,.000,4.9,15.6,10.1,11.9,2.3,0.0,25.0,15.2,,-0.1,0.0,0.0,-0.092,,-6.4,0.0,-6.4,0.0
19,John Johnson,30,1,11,-2.6,.376,,.750,18.8,9.9,14.5,11.3,0.0,0.0,36.1,30.1,,-0.1,0.0,-0.1,-0.281,,-8.9,-3.7,-12.7,0.0
