
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
7,Terrell Brandon,PG,5-11,180,May 20 1970,7,University of Oregon
43,Chris Carr,SG,6-5,207,March 12 1974,3,Southern Illinois University
15,Bill Curley,PF,6-9,220,May 29 1972,2,Boston College
11,Brian Evans,SF,6-8,220,September 13 1973,2,Indiana University
21,Kevin Garnett,PF,6-11,240,May 19 1976,3,
22,Dean Garrett,C,6-10,225,November 27 1966,2,Indiana University
40,Paul Grant,C,7-0,245,January 6 1974,R,University of Wisconsin
20,Tom Hammonds,PF,6-9,215,March 27 1967,9,Georgia Institute of Technology
24,Bobby Jackson,PG,6-1,185,March 13 1973,1,University of Minnesota
31,Reggie Jordan,SG,6-4,195,January 26 1968,4,New Mexico State University
3,Stephon Marbury,PG,6-2,180,February 20 1977,2,Georgia Institute of Technology
42,Sam Mitchell,SF,6-6,210,September 2 1963,9,Mercer University
8,Rasho Nesterovic,C,7-0,248,May 30 1976,R,
45,Andrae Patterson,PF,6-9,238,November 12 1975,R,Indiana University
1,Anthony Peeler,SG,6-4,208,November 25 1969,6,University of Missouri
26,James Robinson,PG,6-2,180,August 31 1970,5,University of Alabama
3,Dennis Scott,SF,6-8,229,September 5 1968,8,Georgia Institute of Technology
2,Malik Sealy,SF,6-8,190,February 1 1970,6,St. John's University
32,Joe Smith,C,6-10,225,July 26 1975,3,University of Maryland
50,Trevor Winter,C,7-0,275,January 7 1974,R,University of Minnesota
