
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
52,Victor Alexander,C,6-9,265,August 31 1969,1,Iowa State University
35,Jud Buechler,SF,6-6,220,June 19 1968,2,University of Arizona
45,Joe Courtney,PF,6-8,235,October 17 1969,R,University of Southern Mississippi
20,Pat Durham,SF,6-7,210,March 10 1967,R,Colorado State University
25,Chris Gatling,PF,6-10,220,September 3 1967,1,Old Dominion University
44,Jeff Grayer,SG,6-5,200,December 17 1965,4,Iowa State University
10,Tim Hardaway,PG,6-0,175,September 1 1966,3,University of Texas at El Paso
3,Sean Higgins,SF,6-9,205,December 30 1968,2,University of Michigan
32,Tyrone Hill,C,6-9,240,March 19 1968,2,Xavier University
21,Byron Houston,PF,6-5,250,November 22 1969,R,Oklahoma State University
2,Keith Jennings,PG,5-7,160,November 2 1968,R,East Tennessee State University
53,Alton Lister,C,7-0,240,October 1 1958,11,Arizona State University
13,Sarunas Marciulionis,SF,6-5,200,June 13 1964,3,
17,Chris Mullin,SF,6-6,200,July 30 1963,7,St. John's University
55,Ed Nealy,PF,6-7,238,February 19 1960,9,Kansas State University
30,Billy Owens,PF,6-8,220,May 1 1969,1,Syracuse University
5,Paul Pressey,SG,6-5,185,December 24 1958,10,University of Tulsa
12,Andre Spencer,SF,6-6,210,July 20 1964,R,Northern Arizona University
15,Latrell Sprewell,SG,6-5,190,September 8 1970,R,University of Alabama
34,Barry Stevens,SF,6-5,195,January 17 1963,R,Iowa State University
