
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
,Mike Bantom,SF,6-9,200,December 3 1951,6,Saint Joseph's University
7,Dudley Bradley,SG,6-6,195,March 19 1957,R,University of North Carolina
10,Corky Calhoun,SF,6-7,210,November 1 1950,7,University of Pennsylvania
13,Ron Carter,SG,6-5,190,August 31 1956,1,Virginia Military Institute
30,Phil Chenier,SG,6-3,180,October 30 1950,8,University of California
30,Brad Davis,PG,6-3,180,December 17 1955,2,University of Maryland
16,Johnny Davis,PG,6-2,170,October 21 1955,3,University of Dayton
40,James Edwards,C,7-0,225,November 22 1955,2,University of Washington
22,Alex English,SF,6-7,190,January 5 1954,3,University of South Carolina
10-11,Joe Hassett,SG,6-5,180,September 11 1955,2,Providence College
45,Clemon Johnson,C,6-10,240,September 12 1956,1,Florida Agricultural and Mechanical University
8,Mickey Johnson,PF,6-10,190,August 31 1952,5,Aurora University
25,Billy Knight,SF,6-6,195,June 9 1952,5,University of Pittsburgh
5,John Kuester,PG,6-2,180,February 6 1955,2,University of North Carolina
30,George McGinnis,PF,6-8,235,August 12 1950,8,Indiana University
44,Tony Zeno,SF,6-8,210,October 1 1957,R,Arizona State University
