
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Joe Johnson,27,79,79,39.5,7.8,18.0,.437,1.9,5.2,.360,6.0,12.7,.468,.489,3.8,4.6,.826,0.8,3.6,4.4,5.8,1.1,0.2,2.5,2.2,21.4
2,Josh Smith,23,69,69,35.1,6.1,12.3,.492,0.4,1.3,.299,5.7,11.0,.514,.508,3.1,5.2,.588,1.9,5.3,7.2,2.4,1.4,1.6,2.3,2.7,15.6
3,Mike Bibby,30,79,79,34.7,5.5,12.7,.435,2.1,5.4,.390,3.4,7.3,.468,.518,1.7,2.2,.789,0.5,3.0,3.5,5.0,1.2,0.1,1.6,1.8,14.9
4,Marvin Williams,22,61,59,34.3,4.7,10.2,.458,0.9,2.5,.355,3.8,7.7,.493,.502,3.6,4.5,.806,1.8,4.5,6.3,1.3,0.9,0.6,1.1,2.1,13.9
5,Al Horford,22,67,67,33.5,4.7,8.9,.525,0.0,0.0,.000,4.7,8.9,.526,.525,2.2,3.1,.727,2.2,7.1,9.3,2.4,0.8,1.4,1.5,2.8,11.5
6,Ronald Murray,29,80,2,24.7,4.4,9.9,.447,1.1,3.0,.360,3.4,6.9,.485,.501,2.2,2.9,.760,0.3,1.8,2.1,2.0,1.1,0.2,1.6,2.2,12.2
7,Maurice Evans,30,80,25,23.0,2.6,6.0,.432,1.2,3.1,.395,1.4,2.9,.470,.533,0.8,0.9,.822,1.1,1.9,3.0,0.7,0.6,0.1,0.5,2.0,7.2
8,Zaza Pachulia,24,77,26,19.1,2.1,4.2,.497,0.0,0.0,.000,2.1,4.1,.502,.497,2.1,3.0,.709,2.2,3.4,5.7,0.7,0.5,0.3,1.2,2.7,6.2
9,Solomon Jones,24,63,0,10.7,1.1,1.8,.604,0.0,0.0,.500,1.0,1.7,.606,.608,0.8,1.2,.716,0.8,1.4,2.3,0.2,0.1,0.5,0.4,2.0,3.0
10,Acie Law,24,55,1,10.2,0.9,2.5,.374,0.2,0.5,.310,0.8,2.0,.391,.406,0.9,1.1,.817,0.1,0.9,1.1,1.6,0.2,0.1,0.5,0.8,2.9
11,Speedy Claxton,30,2,0,7.5,1.0,3.5,.286,0.0,0.0,,1.0,3.5,.286,.286,0.5,1.0,.500,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,2.5
12,Thomas Gardner,23,16,0,6.1,0.6,2.3,.250,0.3,1.4,.174,0.3,0.8,.385,.306,0.1,0.3,.500,0.0,0.4,0.4,0.1,0.3,0.1,0.2,0.3,1.5
13,Othello Hunter,22,16,0,5.8,0.7,1.3,.550,0.0,0.0,,0.7,1.3,.550,.550,0.0,0.3,.000,0.6,0.9,1.5,0.1,0.1,0.3,0.1,0.7,1.4
14,Mario West,24,53,3,5.1,0.3,0.6,.412,0.0,0.0,1.000,0.2,0.6,.394,.426,0.3,0.6,.467,0.5,0.6,1.1,0.4,0.3,0.1,0.2,0.7,0.8
15,Randolph Morris,23,23,0,3.9,0.3,0.7,.412,0.0,0.0,,0.3,0.7,.412,.412,0.2,0.2,1.000,0.2,0.7,0.9,0.1,0.1,0.0,0.3,1.1,0.8
