
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
31,Sam Bowie,C,7-1,235,March 17 1961,8,University of Kentucky
41,Elden Campbell,PF,6-11,215,July 23 1968,3,Clemson University
8,Doug Christie,SG,6-6,200,May 9 1970,1,Pepperdine University
12,Vlade Divac,C,7-1,243,February 3 1968,4,
53,James Edwards,C,7-0,225,November 22 1955,16,University of Washington
40,Antonio Harvey,PF,6-11,225,July 6 1970,R,Pfeiffer University
23,Reggie Jordan,SG,6-4,195,January 26 1968,R,New Mexico State University
24-30,George Lynch,SF,6-8,218,September 3 1970,R,University of North Carolina
1,Anthony Peeler,SG,6-4,208,November 25 1969,1,University of Missouri
18,Kurt Rambis,PF,6-8,213,February 25 1958,12,Santa Clara University
26,Danny Schayes,C,6-11,235,May 10 1959,12,Syracuse University
34,Tony Smith,SG,6-3,185,June 14 1968,3,Marquette University
3,Sedale Threatt,PG,6-2,175,September 10 1961,10,West Virginia University Institute of Technology
9,Nick Van Exel,PG,6-1,170,November 27 1971,R,University of Cincinnati
7,Trevor Wilson,PF,6-7,210,March 16 1968,1,University of California Los Angeles
42,James Worthy,SF,6-9,225,February 27 1961,11,University of North Carolina
