
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Doug Christie,30,81,81,2939,5.4,13.6,.395,1.6,4.3,.376,3.8,9.3,.403,4.8,5.4,.897,1.6,4.5,6.1,5.0,3.2,0.8,2.7,3.9,17.2,,109,99
2,Peja Stojakovic,23,75,75,2905,9.8,20.8,.470,2.5,6.3,.400,7.3,14.5,.501,4.7,5.5,.856,1.6,6.0,7.6,2.9,1.6,0.2,2.6,2.5,26.8,,113,102
3,Chris Webber,27,70,70,2836,14.1,29.3,.481,0.0,0.5,.071,14.1,28.8,.488,5.8,8.3,.703,3.2,10.7,13.9,5.3,1.7,2.1,3.5,4.1,34.0,,105,97
4,Vlade Divac,32,81,81,2420,7.6,15.9,.482,0.1,0.3,.286,7.6,15.6,.486,5.1,7.4,.691,4.3,9.8,14.1,4.9,1.8,2.0,4.0,5.1,20.5,,105,97
5,Jason Williams,25,77,77,2290,6.2,15.3,.407,2.2,6.9,.315,4.1,8.4,.483,1.3,1.7,.789,0.4,3.7,4.1,9.2,2.1,0.2,3.6,2.5,16.0,,100,103
6,Scot Pollard,25,77,8,1658,5.7,12.1,.468,0.0,0.1,.000,5.7,12.1,.471,3.9,5.2,.749,5.3,9.0,14.3,1.4,1.5,3.0,2.0,6.3,15.3,,111,97
7,Bobby Jackson,27,79,7,1648,7.1,16.2,.439,1.2,3.2,.375,5.9,13.0,.455,2.0,2.7,.739,2.3,5.3,7.6,5.0,2.7,0.2,3.2,4.3,17.5,,99,100
8,Hedo Turkoglu,21,74,7,1245,5.6,13.7,.412,1.1,3.5,.326,4.5,10.2,.442,3.6,4.6,.777,2.0,6.6,8.6,2.8,2.1,1.0,2.2,5.7,16.0,,103,100
9,Jon Barry,31,62,2,1010,5.2,12.8,.404,2.3,6.6,.348,2.9,6.2,.463,3.2,3.7,.877,0.8,3.9,4.7,6.5,1.4,0.3,2.7,3.3,15.9,,110,104
10,Lawrence Funderburke,30,59,2,698,8.7,17.6,.496,0.0,0.0,,8.7,17.6,.496,3.5,5.6,.623,5.4,8.9,14.3,1.2,0.7,0.9,2.3,3.2,21.0,,107,101
11,Darrick Martin,29,31,0,176,8.4,22.0,.382,4.0,7.8,.519,4.3,14.2,.306,9.0,10.1,.886,0.6,4.0,4.6,4.0,2.0,0.0,2.9,7.8,29.8,,113,103
12,Nick Anderson,33,21,0,169,4.2,17.2,.246,3.0,11.7,.256,1.2,5.4,.222,0.0,0.0,,0.9,6.6,7.5,3.9,3.0,1.2,2.1,3.9,11.4,,76,98
13,Jabari Smith,23,9,0,66,8.5,16.9,.500,0.0,0.0,,8.5,16.9,.500,3.1,4.6,.667,0.8,5.4,6.2,4.6,3.1,0.0,2.3,5.4,20.0,,105,100
14,Art Long,28,9,0,20,0.0,10.2,.000,0.0,0.0,,0.0,10.2,.000,0.0,5.1,.000,5.1,15.3,20.3,2.5,0.0,7.6,5.1,12.7,0.0,,27,91
