
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
24,Mark Aguirre,SF,6-6,232,December 10 1959,2,DePaul University
22,Rolando Blackman,SG,6-6,190,February 26 1959,2,Kansas State University
42,Pat Cummings,PF,6-9,230,July 11 1956,4,University of Cincinnati
15,Brad Davis,PG,6-3,180,December 17 1955,6,University of Maryland
14,Dale Ellis,SF,6-7,205,August 6 1960,R,University of Tennessee
20,Bill Garnett,PF,6-9,225,April 22 1960,1,University of Wyoming
12,Derek Harper,PG,6-4,185,October 13 1961,R,University of Illinois at Urbana-Champaign
40,Kurt Nimphius,C,6-10,218,March 13 1958,2,Arizona State University
21,Roger Phegley,SG,6-6,205,October 16 1956,5,Bradley University
34,Jim Spanarkel,SG,6-5,190,June 28 1957,4,Duke University
33,Elston Turner,SF,6-5,190,June 10 1959,2,University of Mississippi
31,Jay Vincent,SF,6-7,220,June 10 1959,2,Michigan State University
45,Mark West,C,6-10,230,November 5 1960,R,Old Dominion University
