
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,DeMar DeRozan,21,82,82,2851,9.8,20.9,.467,0.1,0.9,.096,9.7,20.0,.485,5.9,7.3,.813,1.4,4.4,5.7,2.7,1.5,0.6,2.6,3.9,25.6,,106,115
2,Andrea Bargnani,25,66,66,2353,11.5,25.8,.448,1.7,4.9,.345,9.8,20.9,.472,6.3,7.7,.820,1.6,5.9,7.5,2.6,0.7,1.0,3.3,3.5,31.1,,105,115
3,Jose Calderon,29,68,55,2102,6.4,14.7,.440,1.4,3.8,.365,5.0,10.8,.466,2.2,2.5,.854,0.7,4.2,5.0,14.9,2.0,0.2,3.6,3.5,16.5,,112,114
4,Amir Johnson,23,72,54,1853,7.8,13.8,.568,0.0,0.0,.000,7.8,13.8,.569,3.5,4.5,.788,5.3,7.6,12.9,2.3,1.5,2.5,1.9,7.3,19.2,,124,110
5,Ed Davis,21,65,17,1602,6.9,12.0,.576,0.0,0.0,,6.9,12.0,.576,2.3,4.1,.555,5.4,9.5,14.9,1.3,1.3,2.2,1.5,5.9,16.2,,120,110
6,Sonny Weems,24,59,28,1413,8.3,18.8,.444,0.6,2.2,.279,7.7,16.5,.467,2.6,3.4,.766,1.4,4.2,5.6,3.8,1.2,0.1,3.1,3.2,19.9,,96,116
7,Leandro Barbosa,28,58,0,1395,10.9,24.2,.450,2.7,7.9,.338,8.2,16.3,.505,4.0,5.1,.796,0.5,3.1,3.7,4.4,1.9,0.2,3.1,4.2,28.5,,105,115
8,Jerryd Bayless,22,60,14,1347,7.7,18.0,.429,1.8,5.1,.348,5.9,12.9,.461,5.9,7.3,.810,0.9,4.8,5.8,9.1,1.4,0.2,4.2,5.1,23.1,,108,115
9,Linas Kleiza,26,39,23,1032,8.9,20.3,.438,2.0,6.6,.298,7.0,13.8,.505,2.1,3.3,.631,1.9,7.0,8.9,2.0,1.0,0.4,3.3,5.0,21.8,,95,114
10,Reggie Evans,30,30,18,798,2.7,6.7,.408,0.0,0.1,.000,2.7,6.6,.412,3.1,5.7,.545,7.7,14.6,22.3,2.5,1.9,0.4,2.5,5.8,8.6,,106,107
11,Julian Wright,23,52,6,766,5.5,10.8,.513,0.1,0.7,.200,5.4,10.1,.533,1.5,2.9,.512,3.2,4.8,8.0,3.9,2.6,1.3,2.9,3.0,12.7,,101,111
12,James Johnson,23,25,25,699,6.7,14.5,.464,0.4,1.8,.240,6.3,12.6,.497,3.0,4.3,.707,2.3,6.4,8.7,5.5,1.8,2.1,3.4,5.2,16.9,,102,111
13,Joey Dorsey,27,43,9,522,5.1,9.8,.525,0.0,0.0,,5.1,9.8,.525,3.1,6.4,.477,7.8,11.0,18.8,2.7,2.4,1.7,3.9,7.7,13.4,,103,107
14,Jarrett Jack,27,13,13,347,7.2,18.2,.393,0.6,3.6,.167,6.6,14.6,.449,6.0,6.9,.870,0.9,5.4,6.3,8.8,2.1,0.0,5.1,3.7,20.9,,97,113
15,Alexis Ajinca,22,24,0,265,9.2,19.7,.465,1.8,5.3,.333,7.4,14.4,.514,2.1,2.9,.733,2.3,9.6,11.9,1.6,1.6,2.7,3.3,11.7,22.2,,99,108
16,David Andersen,30,11,0,150,7.9,16.2,.489,1.0,3.4,.300,6.9,12.8,.541,2.4,2.4,1.000,2.8,9.0,11.7,2.4,1.0,1.0,2.8,3.8,19.3,,107,112
17,Sundiata Gaines,24,6,0,90,8.6,20.1,.429,1.7,8.6,.200,6.9,11.5,.600,1.1,3.4,.333,1.1,3.4,4.6,6.3,2.3,0.6,4.6,5.7,20.1,,89,113
18,Trey Johnson,26,7,0,81,6.4,19.1,.333,0.6,1.9,.333,5.7,17.2,.333,4.5,5.1,.875,1.3,3.2,4.5,7.0,0.6,0.6,3.2,7.0,17.9,,92,117
19,Solomon Alabi,22,12,0,59,2.6,13.1,.200,0.0,0.0,,2.6,13.1,.200,0.0,1.8,.000,6.1,6.1,12.3,1.8,1.8,1.8,2.6,4.4,5.3,,61,112
20,Peja Stojakovic,33,2,0,22,16.4,23.5,.700,9.4,14.1,.667,7.0,9.4,.750,4.7,4.7,1.000,0.0,7.0,7.0,2.3,0.0,0.0,4.7,0.0,47.0,,139,117
21,Marcus Banks,29,3,0,22,0.0,4.7,.000,0.0,0.0,,0.0,4.7,.000,14.1,18.8,.750,0.0,2.3,2.3,7.0,2.3,0.0,4.7,9.4,14.1,,99,114
22,Ronald Dupree,30,3,0,13,4.0,15.9,.250,0.0,4.0,.000,4.0,11.9,.333,0.0,0.0,,0.0,11.9,11.9,4.0,0.0,0.0,0.0,8.0,8.0,,69,113
