
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Karl Malone,35,49,1832,25.6,.577,.001,.602,7.7,22.1,15.4,23.0,1.9,1.2,13.8,30.5,,6.2,3.4,9.6,.252,,4.5,2.3,6.8,4.1
2,Bryon Russell,28,50,1770,14.1,.572,.314,.365,4.8,12.9,9.2,7.3,2.4,0.6,12.3,16.7,,2.9,2.7,5.6,.151,,1.7,1.5,3.2,2.3
3,Jeff Hornacek,35,48,1435,17.8,.575,.180,.312,3.0,10.1,6.8,24.7,2.0,0.7,13.8,19.7,,3.5,1.8,5.3,.176,,2.7,0.4,3.1,1.8
4,John Stockton,36,50,1410,21.9,.571,.122,.412,2.9,9.3,6.3,48.3,3.2,0.7,18.5,20.1,,4.2,2.2,6.4,.217,,4.0,-0.1,3.9,2.1
5,Greg Ostertag,25,48,1340,12.8,.523,.000,.582,10.3,20.6,15.8,2.8,0.5,7.4,14.7,10.9,,1.2,2.6,3.8,.136,,-2.5,4.3,1.8,1.3
6,Shandon Anderson,25,50,1072,12.8,.511,.113,.344,6.0,8.8,7.5,9.7,2.0,0.7,13.6,21.6,,0.7,1.3,2.0,.088,,-1.1,-0.2,-1.4,0.2
7,Howard Eisley,26,50,1038,11.7,.527,.159,.255,1.5,9.0,5.5,32.0,1.6,0.1,23.8,21.1,,0.2,1.1,1.3,.061,,-1.5,-1.5,-3.0,-0.3
8,Adam Keefe,28,44,642,12.2,.533,.032,.718,10.5,16.1,13.5,7.2,1.4,1.4,16.8,14.6,,0.8,0.9,1.7,.126,,-1.5,1.0,-0.4,0.2
9,Thurl Bailey,37,43,543,11.5,.476,.011,.194,8.7,12.1,10.6,8.7,0.9,3.9,12.4,19.1,,0.2,0.7,0.9,.083,,-2.8,1.0,-1.8,0.0
10,Todd Fuller,24,42,462,9.1,.486,.000,.403,8.0,18.0,13.3,2.3,0.7,2.3,15.6,17.9,,-0.1,0.7,0.6,.059,,-5.2,-0.9,-6.2,-0.5
11,Greg Foster,30,42,458,6.3,.401,.029,.152,8.1,13.6,11.1,9.4,0.7,1.3,14.0,17.9,,-0.4,0.5,0.1,.011,,-4.9,-0.3,-5.1,-0.4
12,Jacque Vaughn,23,19,87,13.3,.542,.267,.800,1.5,13.1,7.7,24.4,3.2,0.0,25.7,30.0,,0.0,0.1,0.1,.069,,-2.6,-0.6,-3.1,0.0
13,Anthony Avent,29,5,44,1.3,.324,.000,.154,23.9,10.3,16.6,3.8,2.5,0.0,33.5,22.7,,-0.2,0.1,-0.1,-0.153,,-8.1,-0.9,-9.0,-0.1
14,Chris King,29,8,42,-1.9,.228,.000,.571,3.1,27.1,16.0,3.7,2.6,1.8,31.3,14.5,,-0.2,0.1,-0.1,-0.129,,-12.1,2.7,-9.5,-0.1
