
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Rick Barry,33,82,3024,20.9,.509,,.243,2.5,12.8,7.5,22.6,2.4,0.8,10.7,27.1,,5.9,3.8,9.7,.154,,2.7,0.4,3.1,3.9
2,Phil Smith,25,82,2940,16.5,.522,,.283,3.4,7.1,5.2,19.6,1.7,0.5,14.7,24.1,,3.8,2.5,6.3,.102,,1.3,-0.9,0.4,1.8
3,Clifford Ray,29,79,2268,14.9,.594,,.511,10.4,23.9,17.0,8.3,1.5,2.1,20.5,12.7,,3.2,3.6,6.9,.145,,-0.1,2.7,2.6,2.6
4,Sonny Parker,22,82,2069,17.4,.544,,.221,8.0,11.1,9.5,10.6,3.0,0.9,13.0,18.7,,3.4,2.8,6.2,.145,,1.6,1.4,2.9,2.6
5,Robert Parish,24,82,1969,17.2,.499,,.290,10.7,24.7,17.5,7.0,1.8,3.4,16.4,24.5,,0.4,3.6,4.0,.098,,-2.0,1.0,-0.9,0.5
6,E.C. Coleman,27,72,1801,9.1,.493,,.123,6.5,14.9,10.6,7.1,1.7,0.7,16.8,12.3,,0.6,2.1,2.7,.071,,-2.0,1.4,-0.6,0.6
7,Charles Dudley,27,78,1660,13.4,.585,,.783,5.2,12.6,8.8,29.8,1.9,0.1,32.7,11.8,,1.9,1.8,3.6,.105,,-0.9,0.3,-0.6,0.6
8,Rickey Green,23,76,1098,9.3,.410,,.240,4.4,6.3,5.4,17.6,2.4,0.0,16.0,17.6,,-0.7,1.1,0.3,.014,,-3.1,-0.6,-3.8,-0.5
9,Ricky Marsh,23,60,851,8.4,.443,,.114,1.9,7.2,4.5,13.9,1.5,1.2,14.1,16.3,,-0.3,0.8,0.5,.028,,-3.6,-0.7,-4.3,-0.5
10,Nate Williams,27,46,815,15.0,.470,,.165,4.6,9.7,7.1,7.8,2.0,1.4,9.6,29.1,,0.1,0.9,1.1,.063,,-1.8,-2.3,-4.1,-0.4
11,Charles Johnson,28,32,492,11.8,.416,,.043,4.7,8.2,6.4,13.8,2.9,0.4,8.8,20.9,,-0.1,0.6,0.4,.043,,-2.0,-0.4,-2.4,-0.1
12,Wesley Cox,23,43,453,11.7,.452,,.578,9.2,23.1,16.0,3.5,2.1,1.2,14.2,21.9,,-0.2,0.8,0.6,.062,,-4.6,-1.3,-5.9,-0.5
13,Derrek Dickey,26,22,273,14.0,.495,,.131,7.7,10.6,9.1,5.9,1.7,0.4,11.0,22.2,,0.2,0.3,0.5,.084,,-1.5,-2.2,-3.6,-0.1
14,Larry McNeill,27,9,67,6.5,.512,,1.056,3.0,18.6,10.6,3.7,0.0,0.8,21.0,19.5,,0.0,0.1,0.1,.036,,-6.4,-2.8,-9.2,-0.1
