
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Wesley Person,26,82,82,3198,7.3,16.0,.460,3.2,7.5,.430,4.1,8.5,.486,2.2,2.8,.776,1.1,5.0,6.1,3.1,2.2,0.8,1.8,1.8,20.1,,114,101
2,Shawn Kemp,28,80,80,2769,10.0,22.5,.445,0.0,0.2,.250,10.0,22.3,.446,7.8,10.7,.727,4.2,10.1,14.4,3.8,2.1,1.7,5.2,6.0,27.8,,98,96
3,Cedric Henderson,22,82,71,2527,7.4,15.3,.480,0.0,0.1,.000,7.4,15.2,.483,2.9,4.0,.716,1.5,5.4,6.9,3.6,2.0,1.0,3.5,5.0,17.6,,96,100
4,Brevin Knight,22,80,76,2483,5.6,12.7,.441,0.0,0.2,.000,5.6,12.6,.446,4.3,5.4,.801,1.4,4.0,5.4,14.1,4.2,0.4,4.2,5.8,15.6,,109,97
5,Zydrunas Ilgauskas,22,82,81,2379,10.2,19.7,.518,0.0,0.1,.250,10.2,19.6,.519,5.2,6.8,.762,6.3,10.0,16.2,1.6,1.2,3.0,3.3,6.5,25.6,,111,97
6,Derek Anderson,23,66,13,1839,6.9,17.0,.408,0.5,2.4,.202,6.4,14.6,.442,8.0,9.1,.873,1.6,3.8,5.4,6.6,2.5,0.4,3.7,4.0,22.4,,107,101
7,Vitaly Potapenko,22,80,0,1412,8.9,18.5,.480,0.0,0.0,.000,8.9,18.4,.480,3.9,5.4,.708,4.2,7.7,11.8,2.2,1.0,1.1,5.0,7.5,21.6,,93,101
8,Danny Ferry,31,69,3,1034,5.8,14.8,.395,1.7,5.1,.333,4.1,9.7,.428,1.7,2.1,.800,1.2,4.7,5.9,3.0,1.3,0.9,2.7,6.1,15.0,,93,102
9,Bob Sura,24,46,4,942,4.9,13.1,.377,1.1,3.4,.317,3.9,9.7,.398,4.2,7.4,.565,1.4,3.9,5.3,9.7,2.5,0.4,5.3,6.4,15.1,,90,101
10,Scott Brooks,32,43,0,312,4.8,11.3,.424,0.9,1.9,.455,3.9,9.4,.418,3.1,3.4,.900,1.0,4.1,5.1,8.4,3.1,0.5,2.1,4.3,13.5,,115,100
11,Carl Thomas,28,29,0,272,5.3,13.7,.386,2.9,7.5,.395,2.4,6.3,.375,1.6,2.6,.615,1.2,6.1,7.3,1.8,3.1,1.0,2.4,5.3,15.1,,96,98
12,Mitchell Butler,27,18,0,206,3.9,12.2,.319,0.3,1.6,.167,3.6,10.6,.341,1.6,2.6,.600,1.6,4.1,5.7,4.7,2.1,0.0,2.1,6.7,9.6,,84,102
13,Shawnelle Scott,25,41,0,188,4.5,10.2,.444,0.0,0.0,,4.5,10.2,.444,3.4,5.1,.667,5.7,11.1,16.8,2.3,1.7,2.3,2.8,12.8,12.5,,102,95
14,Henry James,32,28,0,166,7.7,19.0,.407,3.5,8.0,.440,4.2,10.9,.382,6.8,7.1,.955,0.6,4.2,4.8,1.6,0.3,0.3,3.9,7.7,25.7,,105,105
15,Greg Graham,27,6,0,56,6.7,11.4,.583,0.0,2.9,.000,6.7,8.6,.778,1.9,1.9,1.000,0.0,1.0,1.0,5.7,1.0,0.0,9.5,6.7,15.3,,73,107
16,Tony Dumas,25,7,0,47,6.8,13.6,.500,2.3,4.5,.500,4.5,9.1,.500,0.0,3.4,.000,1.1,4.5,5.7,5.7,0.0,0.0,5.7,5.7,15.9,,83,106
