
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LaMarcus Aldridge,24,78,2922,18.2,.535,.014,.260,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,,5.5,3.3,8.8,.145,,0.9,0.6,1.6,2.6
2,Andre Miller,33,82,2500,18.1,.530,.088,.432,4.0,9.2,6.6,30.3,2.0,0.3,13.8,23.8,,4.6,2.4,7.0,.134,,1.9,-0.3,1.6,2.3
3,Brandon Roy,25,65,2419,21.3,.568,.213,.424,3.7,10.9,7.3,23.1,1.4,0.5,9.5,26.7,,7.0,2.1,9.1,.180,,4.8,-0.7,4.1,3.7
4,Martell Webster,23,82,2005,12.5,.543,.520,.243,2.9,13.7,8.3,5.0,1.2,1.6,7.8,18.2,,2.4,2.0,4.4,.105,,0.5,-0.7,-0.2,0.9
5,Juwan Howard,36,73,1632,10.0,.538,.003,.187,8.1,17.3,12.7,5.9,0.9,0.5,15.1,13.9,,1.1,1.6,2.6,.077,,-2.1,0.3,-1.7,0.1
6,Rudy Fernandez,24,62,1441,13.1,.540,.629,.232,3.0,11.2,7.0,13.8,2.4,0.6,13.4,17.7,,1.4,1.6,3.0,.101,,1.5,0.3,1.8,1.4
7,Steve Blake,29,51,1397,11.2,.526,.583,.090,1.3,9.2,5.2,22.5,1.4,0.1,15.0,14.8,,1.3,1.1,2.4,.082,,0.7,-1.0,-0.3,0.6
8,Jerryd Bayless,21,74,1304,14.3,.534,.190,.501,1.7,9.8,5.7,22.1,1.1,0.3,13.8,24.9,,1.7,1.0,2.7,.098,,-0.3,-2.2,-2.5,-0.2
9,Nicolas Batum,21,37,918,17.3,.646,.493,.190,4.3,14.8,9.5,8.0,1.4,2.2,8.5,16.4,,2.4,1.1,3.5,.181,,3.2,0.6,3.8,1.3
10,Marcus Camby,35,23,718,17.0,.511,.007,.214,14.2,29.9,22.0,7.5,2.0,5.2,14.5,12.3,,0.8,1.5,2.3,.152,,-0.9,5.3,4.5,1.2
11,Dante Cunningham,22,63,707,14.3,.517,.009,.224,9.4,18.7,14.0,3.3,1.9,2.5,6.0,16.8,,0.9,1.0,1.9,.129,,-2.1,0.2,-1.9,0.0
12,Joel Przybilla,30,30,681,11.2,.567,.000,.593,13.0,30.4,21.6,1.7,0.6,5.1,26.5,10.3,,0.3,1.2,1.4,.101,,-4.1,2.2,-1.9,0.0
13,Greg Oden,22,21,502,23.1,.647,.000,.421,15.6,28.3,21.9,6.7,0.9,7.7,17.8,20.7,,1.3,1.0,2.2,.214,,0.6,3.6,4.1,0.8
14,Jeff Ayres,22,39,405,12.1,.705,.000,.308,7.6,22.5,15.0,0.4,0.9,3.2,14.0,10.1,,0.8,0.6,1.3,.156,,-2.5,-0.4,-2.9,-0.1
15,Travis Outlaw,25,11,231,14.8,.489,.307,.238,6.9,13.5,10.2,5.9,1.7,2.8,9.7,25.4,,0.1,0.3,0.3,.071,,-1.5,-1.0,-2.5,0.0
16,Patrick Mills,21,10,38,11.9,.480,.167,.292,3.2,3.3,3.3,27.1,0.0,0.0,12.9,38.9,,0.0,0.0,0.0,-0.036,,-1.8,-6.7,-8.5,-0.1
17,Travis Diener,27,5,26,7.3,.307,.500,.500,0.0,4.8,2.4,21.7,2.1,0.0,0.0,8.9,,0.0,0.0,0.0,.043,,-3.5,-2.1,-5.6,0.0
18,Shavlik Randolph,26,3,6,16.5,.515,.000,.667,0.0,20.8,10.3,28.6,0.0,0.0,20.5,38.6,,0.0,0.0,0.0,.005,,-5.4,-3.0,-8.5,0.0
19,Anthony Tolliver,24,2,4,-11.5,.000,1.000,.000,0.0,31.2,15.5,0.0,0.0,0.0,0.0,11.9,,0.0,0.0,0.0,-0.217,,-13.6,-5.1,-18.7,0.0
