
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
54,Greg Butler,C,6-11,240,March 11 1966,R,Stanford University
33,Patrick Ewing,C,7-0,240,August 5 1962,3,Georgetown University
44,Sidney Green,PF,6-9,220,January 4 1961,5,University of Nevada Las Vegas
13,Mark Jackson,PG,6-1,180,April 1 1965,1,St. John's University
8,Pete Myers,SG,6-6,180,September 15 1963,2,University of Arkansas at Little Rock
4,Johnny Newman,SF,6-7,190,November 28 1963,2,University of Richmond
34,Charles Oakley,PF,6-8,225,December 18 1963,3,Virginia Union University
11,Rod Strickland,PG,6-3,175,July 11 1966,R,DePaul University
6,Trent Tucker,SG,6-5,193,December 20 1959,6,University of Minnesota
55,Kiki Vandeweghe,PF,6-8,220,August 1 1958,8,University of California Los Angeles
7,Kenny Walker,SF,6-8,210,August 18 1964,2,University of Kentucky
45,Eddie Lee Wilkins,C,6-10,220,May 7 1962,2,Gardner-Webb University
21,Gerald Wilkins,SG,6-6,185,September 11 1963,3,University of Tennessee at Chattanooga
