
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Artis Gilmore,29,82,3265,22.3,.619,,.448,9.9,25.0,17.5,12.9,0.7,2.6,16.5,23.0,,8.6,4.1,12.7,.186,,3.3,1.4,4.7,5.6
2,Reggie Theus,21,82,2753,13.3,.526,,.310,3.7,5.4,4.5,22.8,1.6,0.3,19.2,22.9,,1.5,1.7,3.2,.056,,-0.3,-1.6,-1.9,0.1
3,Mickey Johnson,26,82,2594,15.5,.506,,.298,8.2,18.2,13.2,21.3,1.6,1.2,20.0,24.1,,0.8,2.9,3.7,.069,,-0.3,1.2,0.9,1.9
4,Wilbur Holland,27,82,2483,13.1,.507,,.187,3.5,7.7,5.6,19.0,2.3,0.3,15.4,19.4,,1.7,2.1,3.8,.074,,-0.4,-0.3,-0.7,0.8
5,Mark Landsberger,23,80,1959,12.6,.483,,.332,16.4,25.0,20.7,4.7,0.6,0.6,18.2,16.7,,0.2,2.0,2.2,.054,,-2.3,-1.1,-3.4,-0.7
6,Ollie Johnson,29,71,1734,12.3,.552,,.204,3.7,10.6,7.2,13.1,1.5,1.0,16.2,16.2,,1.6,1.4,3.1,.085,,-0.9,0.1,-0.9,0.5
7,John Mengelt,29,75,1705,13.2,.537,,.264,1.6,5.9,3.8,16.1,1.3,0.1,13.5,20.9,,2.1,0.9,3.0,.084,,-0.9,-2.5,-3.4,-0.6
8,John Brown,27,77,1265,9.4,.539,,.309,7.2,13.3,10.3,10.8,0.7,0.4,19.8,14.2,,0.9,0.8,1.7,.064,,-2.0,-0.6,-2.6,-0.2
9,Charles Dudley,28,43,684,6.4,.411,,.336,4.0,9.7,6.9,20.9,2.2,0.1,30.8,12.1,,-0.7,0.6,-0.1,-0.009,,-4.6,0.3,-4.2,-0.4
10,Scott Lloyd,26,67,465,4.3,.395,,.392,11.3,10.5,10.9,8.7,0.9,0.9,23.4,15.8,,-0.7,0.3,-0.4,-0.037,,-5.1,-0.8,-5.9,-0.5
11,Scott May,24,37,403,8.4,.482,,.294,3.8,13.5,8.7,13.2,2.5,0.1,24.9,20.3,,-0.6,0.4,-0.1,-0.015,,-5.0,-0.2,-5.2,-0.3
12,Tate Armstrong,23,26,259,6.5,.436,,.186,3.0,5.5,4.2,15.5,1.8,0.0,21.7,14.9,,-0.2,0.2,-0.1,-0.012,,-4.8,-1.5,-6.3,-0.3
13,Steve Sheppard,24,22,203,7.4,.505,,.373,8.7,6.4,7.5,9.7,1.1,0.0,26.1,15.8,,-0.1,0.1,0.0,-0.007,,-3.6,-1.5,-5.1,-0.2
14,Andre Wakefield,24,2,8,-15.9,.000,,.000,0.0,0.0,0.0,14.2,0.0,0.0,66.7,15.0,,-0.1,0.0,-0.1,-0.397,,-18.5,-4.7,-23.2,0.0
