
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Raymond Felton,24,82,81,3086,5.2,12.6,.408,0.7,2.4,.285,4.5,10.2,.437,2.6,3.2,.805,0.6,3.0,3.6,6.5,1.5,0.3,2.7,2.2,13.6
2,Emeka Okafor,26,82,81,2691,5.8,10.3,.561,0.0,0.0,,5.8,10.3,.561,2.9,4.9,.593,3.7,7.4,11.1,0.7,0.6,1.8,1.9,3.3,14.5
3,Gerald Wallace,26,71,71,2669,5.2,10.9,.480,0.5,1.8,.298,4.7,9.2,.515,4.9,6.1,.804,1.5,5.9,7.5,2.5,1.6,0.9,2.0,2.8,15.9
4,Boris Diaw,26,59,59,2216,6.0,12.1,.495,1.1,2.7,.419,4.8,9.4,.517,1.3,2.0,.686,1.5,4.1,5.7,4.7,0.8,0.7,2.9,2.6,14.4
5,D.J. Augustin,21,72,12,1908,5.0,11.7,.430,2.0,4.6,.439,3.0,7.1,.424,3.9,4.4,.893,0.3,2.2,2.5,4.7,0.8,0.0,2.2,2.6,16.0
6,Raja Bell,32,45,44,1603,5.0,11.4,.440,1.6,4.0,.395,3.4,7.4,.464,1.6,1.8,.877,0.7,3.3,4.0,2.5,0.8,0.1,1.5,2.4,13.2
7,Vladimir Radmanovic,28,32,3,674,5.4,13.5,.401,2.4,6.7,.357,3.0,6.7,.444,1.1,1.7,.645,1.4,4.2,5.6,2.3,1.0,0.4,2.7,3.2,14.3
8,Adam Morrison,24,44,5,667,4.1,11.4,.360,1.7,5.0,.337,2.4,6.4,.378,0.9,1.1,.762,0.9,3.0,3.9,2.1,0.5,0.2,1.6,3.9,10.7
9,DeSagana Diop,27,41,1,584,3.2,7.0,.460,0.0,0.0,,3.2,7.0,.460,0.6,2.3,.270,4.3,5.3,9.6,1.2,1.0,1.9,1.7,4.5,7.0
10,Jason Richardson,28,14,14,491,7.1,16.1,.441,2.0,4.3,.458,5.1,11.8,.435,3.0,4.0,.745,1.0,3.3,4.3,2.6,1.0,0.2,1.8,3.2,19.2
11,Matt Carroll,28,34,10,475,4.2,10.5,.406,0.9,3.4,.267,3.3,7.0,.473,1.1,1.4,.789,0.4,3.8,4.2,1.8,1.4,0.4,2.0,4.0,10.5
12,Juwan Howard,35,39,2,450,5.9,11.6,.510,0.0,0.0,,5.9,11.6,.510,1.8,2.7,.676,2.3,3.4,5.8,1.9,0.5,0.4,2.1,5.4,13.7
13,Jared Dudley,23,20,7,427,3.8,8.1,.469,0.3,0.7,.375,3.5,7.4,.477,1.3,2.0,.625,2.1,2.9,5.0,1.6,1.5,0.2,0.8,3.4,9.1
14,Nazr Mohammed,31,39,1,341,4.3,10.7,.406,0.0,0.0,,4.3,10.7,.406,2.3,4.2,.550,3.7,4.6,8.3,0.8,0.5,1.7,2.4,6.7,11.0
15,Shannon Brown,23,30,0,341,5.9,13.0,.455,0.8,3.0,.286,5.1,10.0,.505,2.5,3.2,.800,0.8,1.7,2.5,3.0,1.9,0.5,3.1,3.5,15.2
16,Sean May,24,24,12,301,4.7,11.7,.398,0.1,0.1,1.000,4.5,11.6,.392,1.7,2.4,.700,2.4,5.9,8.3,1.2,0.6,0.5,3.1,3.8,11.1
17,Cartier Martin,24,33,1,266,3.8,10.4,.364,1.4,4.5,.303,2.4,6.0,.409,2.7,3.4,.800,0.9,3.5,4.5,1.8,1.1,0.5,1.2,4.5,11.6
18,Ryan Hollins,24,18,1,184,3.7,6.8,.543,0.0,0.0,,3.7,6.8,.543,5.1,7.6,.667,3.7,3.3,7.0,0.8,0.6,3.3,2.0,6.7,12.5
19,Alexis Ajinca,20,31,4,182,4.9,13.6,.362,0.0,0.4,.000,4.9,13.3,.373,4.0,5.5,.714,1.8,4.2,5.9,0.6,1.4,1.2,2.4,6.7,13.8
20,Sean Singletary,23,24,1,181,3.8,9.5,.396,1.2,3.0,.400,2.6,6.6,.394,2.4,3.0,.800,1.0,2.8,3.8,3.4,1.0,0.0,3.6,6.2,11.1
21,Dontell Jefferson,25,6,0,84,4.7,9.4,.500,0.4,0.9,.500,4.3,8.6,.500,2.6,3.9,.667,0.4,4.7,5.1,3.9,1.7,0.4,2.6,3.9,12.4
22,Dwayne Jones,25,6,0,52,2.8,4.8,.571,0.0,0.0,,2.8,4.8,.571,2.8,4.2,.667,4.2,4.2,8.3,0.0,0.0,0.7,2.8,4.2,8.3
23,Andre Brown,27,4,0,41,0.9,6.1,.143,0.0,0.0,,0.9,6.1,.143,1.8,1.8,1.000,6.1,4.4,10.5,0.9,0.9,0.0,4.4,7.9,3.5
24,Linton Johnson,28,2,0,13,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0
