
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jim Chones,28,82,2906,14.9,.503,,.225,7.6,22.0,14.7,6.5,0.8,1.0,13.1,19.2,,2.6,3.8,6.4,.105,,-0.6,0.5,-0.1,1.4
2,Campy Russell,26,72,2520,18.2,.509,,.402,6.1,12.3,9.2,16.4,1.6,0.2,13.0,24.9,,4.0,2.6,6.6,.127,,2.3,0.1,2.4,2.8
3,Foots Walker,26,81,2496,14.2,.496,,.345,3.1,8.9,6.0,23.7,3.3,0.5,19.7,14.6,,1.9,3.4,5.2,.101,,0.2,2.1,2.3,2.7
4,Austin Carr,29,82,2186,13.6,.484,,.238,3.5,5.2,4.3,14.9,1.4,0.5,12.3,21.6,,1.8,1.6,3.4,.074,,-0.1,-1.2,-1.3,0.4
5,Elmore Smith,28,81,1996,19.9,.534,,.382,8.9,25.6,17.2,4.2,1.2,4.6,13.0,21.6,,3.0,3.8,6.8,.164,,-0.8,1.3,0.5,1.2
6,Jim Brewer,26,80,1798,10.5,.456,,.256,10.1,17.8,13.9,7.0,1.5,1.4,19.2,11.9,,0.2,2.5,2.6,.070,,-1.9,2.3,0.4,1.1
7,Walt Frazier,32,51,1664,17.5,.520,,.252,3.3,9.5,6.4,18.5,2.1,0.4,12.5,21.6,,2.8,1.8,4.6,.132,,1.9,0.3,2.3,1.8
8,Bingo Smith,31,82,1581,14.3,.470,,.161,4.1,9.2,6.6,8.9,1.1,0.7,8.3,24.6,,1.2,1.3,2.5,.076,,-0.9,-2.1,-2.9,-0.4
9,John Lambert,25,76,1075,10.8,.435,,.143,11.7,18.9,15.3,4.7,1.2,2.4,14.8,15.5,,-0.1,1.5,1.5,.067,,-2.9,0.9,-2.0,0.0
10,Terry Furlow,23,53,827,15.5,.485,,.223,5.7,7.4,6.5,13.5,1.2,0.9,13.7,27.0,,0.5,0.7,1.1,.064,,-0.6,-2.0,-2.6,-0.1
11,Dick Snyder,33,58,660,12.0,.500,,.254,1.4,6.2,3.8,12.0,1.6,1.5,14.6,19.7,,0.3,0.6,0.9,.067,,-2.3,-0.9,-3.2,-0.2
12,Eddie Jordan,23,22,171,10.7,.397,,.286,1.2,5.4,3.3,24.4,3.3,0.3,18.2,17.9,,-0.2,0.2,0.0,.013,,-3.8,-0.8,-4.6,-0.1
