
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
45,Randy Breuer,C,7-3,230,October 11 1960,7,University of Minnesota
1,Scott Brooks,PG,5-11,165,July 31 1965,2,University of California Irvine
19,Tony Campbell,SG,6-7,215,May 7 1962,6,Ohio State University
33,Richard Coffey,SF,6-6,212,September 2 1965,R,University of Minnesota
23,Tyrone Corbin,SF,6-6,210,December 31 1962,5,DePaul University
22,Gerald Glass,SF,6-5,221,November 12 1967,R,University of Mississippi
52,Dan Godfread,C,6-10,250,June 14 1967,R,University of Evansville
42,Sam Mitchell,PF,6-6,210,September 2 1963,1,Mercer University
4,Tod Murphy,PF,6-9,220,December 24 1963,2,University of California Irvine
24,Pooh Richardson,PG,6-1,180,May 14 1966,1,University of California Los Angeles
50,Felton Spencer,C,7-0,265,January 15 1968,R,University of Louisville
20,Jim Thomas,SG,6-3,190,October 19 1960,3,Indiana University
25,Bob Thornton,PF,6-10,225,July 10 1962,5,University of California Irvine
5,Doug West,SG,6-6,200,May 27 1967,1,Villanova University
