
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
24,Anthony Bonner,PF,6-8,215,June 8 1968,R,Saint Louis University
4,Rick Calloway,SG,6-6,180,December 12 1966,R,University of Kansas
35,Antoine Carr,PF,6-9,225,July 23 1961,6,Wichita State University
31,Duane Causwell,C,7-0,240,May 31 1968,R,Temple University
21,Steve Colter,PG,6-3,165,July 24 1962,6,New Mexico State University
32,Tony Dawson,SF,6-7,215,August 25 1967,R,Florida State University
41,Anthony Frederick,SF,6-7,205,December 7 1964,1,Pepperdine University
20,Bob Hansen,SG,6-6,190,January 18 1961,7,University of Iowa
32,Mike Higgins,SF,6-9,220,February 17 1967,1,University of Northern Colorado
45,Eric Leckner,C,6-11,265,May 27 1966,2,University of Wyoming
33,Jim Les,PG,5-11,165,August 18 1963,2,Bradley University
1,Travis Mays,PG,6-2,190,June 19 1968,R,University of Texas at Austin
50,Ralph Sampson,C,7-4,228,July 7 1960,7,University of Virginia
22,Lionel Simmons,SF,6-7,210,November 14 1968,R,La Salle University
2,Rory Sparrow,PG,6-2,175,June 12 1958,10,Villanova University
23,Wayman Tisdale,PF,6-9,240,June 9 1964,5,University of Oklahoma
34,Bill Wennington,C,7-0,245,April 26 1963,5,St. John's University
,Leon Wood,SG,6-3,185,March 25 1962,5,California State University Fullerton
