
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Julius Erving,28,78,2802,20.1,.538,,.344,7.7,13.1,10.5,19.6,2.1,1.9,15.8,27.7,,3.6,4.4,7.9,.136,,2.2,1.4,3.6,4.0
2,Henry Bibby,29,82,2538,11.2,.493,,.386,3.1,6.8,5.0,19.2,1.3,0.1,16.2,18.6,,1.3,2.4,3.7,.069,,-1.4,-0.9,-2.4,-0.2
3,Maurice Cheeks,22,82,2409,12.6,.541,,.245,2.8,7.9,5.5,22.8,3.2,0.3,23.3,13.4,,1.3,3.6,4.9,.097,,-0.8,1.5,0.7,1.6
4,Bobby Jones,27,80,2304,16.7,.584,,.393,9.4,14.4,12.0,11.8,2.1,2.2,16.7,16.8,,3.9,3.8,7.7,.160,,1.4,2.4,3.8,3.4
5,Caldwell Jones,28,78,2171,13.4,.512,,.254,8.8,26.2,17.9,9.1,0.8,3.8,18.0,15.5,,0.8,4.2,5.0,.111,,-2.4,3.0,0.6,1.4
6,Darryl Dawkins,22,78,2035,15.6,.545,,.283,6.6,24.9,16.1,9.1,0.7,3.6,17.4,21.7,,0.8,3.8,4.6,.108,,-2.2,1.4,-0.8,0.6
7,Doug Collins,27,47,1595,16.0,.555,,.344,2.4,5.5,4.0,17.6,1.5,0.7,13.7,23.4,,2.6,1.6,4.2,.125,,0.9,-1.4,-0.5,0.6
8,Steve Mix,31,74,1269,19.4,.594,,.408,9.3,14.5,12.0,13.7,2.0,0.7,14.7,20.9,,3.0,1.9,4.9,.186,,2.0,0.2,2.2,1.4
9,Joe Bryant,24,70,1064,13.1,.482,,.356,9.8,15.3,12.7,13.6,2.1,0.4,17.1,24.4,,-0.1,1.6,1.5,.067,,-1.9,-0.2,-2.1,0.0
10,Eric Money,23,23,545,11.8,.565,,.249,3.0,4.0,3.5,21.9,1.1,0.2,22.3,22.1,,0.1,0.4,0.5,.048,,-1.4,-2.7,-4.2,-0.3
11,Ralph Simpson,29,37,452,11.2,.473,,.204,3.8,4.2,4.0,18.0,2.5,0.1,18.0,22.5,,-0.3,0.5,0.2,.021,,-3.1,-1.7,-4.9,-0.3
12,Al Skinner,26,22,309,8.0,.480,,.360,5.3,9.4,7.4,16.4,2.6,0.2,24.8,17.3,,-0.2,0.4,0.2,.035,,-3.5,0.5,-3.1,-0.1
13,Harvey Catchings,27,25,289,9.9,.457,,.250,11.2,23.5,17.6,7.7,1.2,6.3,32.9,15.2,,-0.5,0.6,0.1,.021,,-6.2,4.1,-2.1,0.0
14,Marlon Redmond,23,4,23,-13.4,.083,,.000,0.0,4.3,2.3,5.0,0.0,0.0,7.7,22.0,,-0.2,0.0,-0.2,-0.369,,-16.7,-4.8,-21.6,-0.1
