
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
44,Cedric Ball,PF,6-8,210,April 16 1968,R,University of North Carolina at Charlotte
51,Ken Bannister,PF,6-9,235,April 1 1960,4,Saint Augustine's College
00,Benoit Benjamin,C,7-0,250,November 22 1964,5,Creighton University
45,Greg Butler,C,6-11,240,March 11 1966,2,Stanford University
11,Winston Garland,PG,6-2,170,December 19 1964,3,Missouri State University
22,Tom Garrick,SG,6-2,185,July 7 1966,2,University of Rhode Island
1,Gary Grant,PG,6-3,185,April 21 1965,2,University of Michigan
4,Ron Harper,SG,6-6,185,January 20 1964,4,Miami University
30,Bo Kimble,SG,6-4,190,April 9 1966,R,Loyola Marymount University
5,Danny Manning,PF,6-10,230,May 17 1966,2,University of Kansas
15,Jeff Martin,PG,6-5,195,January 14 1967,1,Murray State University
3,Ken Norman,SF,6-8,215,September 5 1964,3,University of Illinois at Urbana-Champaign
0,Olden Polynice,C,6-11,220,November 21 1964,3,University of Virginia
54,Charles Smith,SF,6-10,230,July 16 1965,2,University of Pittsburgh
52,Mike Smrek,C,7-0,250,August 31 1962,5,Canisius College
35,Loy Vaught,PF,6-9,230,February 27 1968,R,University of Michigan
