
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
22,Danny Ainge,SG,6-4,175,March 17 1959,13,Brigham Young University
34,Charles Barkley,PF,6-6,252,February 20 1963,10,Auburn University
12,Richard Dumas,SF,6-7,200,May 19 1969,1,Oklahoma State University
45,A.C. Green,SF,6-9,220,October 4 1963,9,Oregon State University
7,Kevin Johnson,PG,6-1,180,March 4 1966,7,University of California
35,Joe Kleine,C,6-11,255,January 4 1962,9,University of Arkansas
21,Antonio Lang,SF,6-8,205,May 15 1972,R,Duke University
9,Dan Majerle,SF,6-6,215,September 9 1965,6,Central Michigan University
15,Danny Manning,PF,6-10,230,May 17 1966,6,University of Kansas
2,Elliot Perry,PG,6-0,150,March 28 1969,2,University of Memphis
11,Wesley Person,SG,6-6,195,March 28 1971,R,Auburn University
8,Trevor Ruffin,PG,6-1,185,September 26 1970,R,University of Hawaii
24,Danny Schayes,C,6-11,235,May 10 1959,13,Syracuse University
4,Aaron Swinson,SF,6-5,230,January 9 1971,R,Auburn University
23,Wayman Tisdale,PF,6-9,240,June 9 1964,9,University of Oklahoma
