
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Latrell Sprewell,30,77,77,3017,9.6,22.4,.430,0.8,2.5,.304,8.9,19.9,.446,5.0,6.4,.783,0.9,5.5,6.4,4.9,1.9,0.5,4.0,2.9,25.0,,96,99
2,Allan Houston,29,78,78,2858,10.5,23.4,.449,1.9,4.9,.381,8.6,18.5,.467,5.4,5.9,.909,0.4,5.1,5.5,3.4,1.0,0.2,3.1,3.7,28.3,,104,102
3,Glen Rice,33,75,25,2212,8.3,18.8,.440,2.1,5.3,.389,6.2,13.5,.460,3.9,4.6,.852,1.5,6.2,7.7,2.2,1.0,0.3,2.4,4.5,22.5,,105,101
4,Marcus Camby,26,63,63,2127,7.9,15.1,.524,0.0,0.2,.125,7.9,14.9,.530,3.9,5.9,.667,5.1,13.7,18.8,1.4,1.7,3.5,1.6,5.3,19.8,,116,91
5,Kurt Thomas,28,77,29,2125,8.2,16.0,.511,0.0,0.1,.333,8.2,15.9,.512,4.5,5.5,.814,4.5,8.9,13.4,1.6,1.6,1.8,2.6,7.5,20.8,,111,96
6,Larry Johnson,31,65,65,2105,6.5,15.7,.411,1.3,4.3,.313,5.1,11.4,.448,2.7,3.4,.797,2.4,7.2,9.5,3.3,1.0,0.8,2.6,5.5,17.0,,99,99
7,Charlie Ward,30,61,33,1492,5.8,13.8,.416,2.5,6.5,.383,3.3,7.3,.444,2.1,2.6,.800,1.2,4.7,5.9,10.1,2.6,0.4,4.2,4.9,16.1,,103,98
8,Chris Childs,33,51,5,1309,3.9,9.4,.419,0.8,2.7,.313,3.1,6.7,.462,1.6,1.9,.848,0.6,5.2,5.8,10.0,1.6,0.3,4.1,6.8,10.4,,96,100
9,Mark Jackson,35,29,28,786,5.2,12.7,.411,0.9,3.0,.310,4.3,9.7,.442,0.6,1.2,.529,1.5,7.0,8.5,11.5,1.5,0.0,4.1,3.9,12.0,,95,100
10,Othella Harrington,27,30,5,548,6.8,12.2,.554,0.0,0.0,,6.8,12.2,.554,5.2,7.1,.729,3.7,6.3,10.0,2.0,1.5,1.9,4.1,10.2,18.7,,106,98
11,Erick Strickland,27,28,0,421,5.3,17.2,.305,2.1,6.2,.340,3.2,11.0,.286,3.2,3.7,.857,1.2,5.7,6.8,3.8,2.9,0.1,2.8,6.0,15.8,,87,97
12,Luc Longley,32,25,2,301,3.3,9.9,.333,0.0,0.0,,3.3,9.9,.333,2.4,3.1,.765,4.8,7.4,12.1,1.3,0.6,1.7,4.0,9.4,9.0,,78,99
13,Travis Knight,26,45,0,256,2.2,11.5,.189,0.0,0.2,.000,2.2,11.2,.192,1.9,3.9,.500,4.1,7.4,11.5,1.1,1.1,2.4,2.2,10.2,6.3,,63,97
14,Lavor Postell,22,26,0,169,5.6,17.7,.315,1.0,3.6,.273,4.6,14.1,.326,7.2,8.8,.815,2.6,5.6,8.2,1.6,1.3,0.7,5.6,3.9,19.3,,82,100
15,Felton Spencer,33,18,0,113,5.9,9.8,.600,0.0,0.0,,5.9,9.8,.600,7.3,12.2,.600,7.8,9.3,17.1,1.0,1.0,1.0,5.4,11.8,19.1,,106,97
16,Rick Brunson,28,15,0,66,6.7,15.9,.421,0.0,2.5,.000,6.7,13.4,.500,3.4,5.0,.667,2.5,7.6,10.1,5.9,0.8,0.0,6.7,4.2,16.8,,81,100
